"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"183","-57.96058654785156","-57.96058654785156","-57.96058654785156","111.72953796386719","111.72953796386719","111.72953796386719","121.87267303466797","121.87267303466797","121.87267303466797","47.262088775634766","47.262088775634766","47.262088775634766","-31.462308883666992","-31.462308883666992","-31.462308883666992"
"184","-7.84021520614624","-7.84021520614624","-7.84021520614624","42.68812561035156","42.68812561035156","42.68812561035156","95.82484436035156","95.82484436035156","95.82484436035156","114.7447738647461","114.7447738647461","114.7447738647461","-49.10434341430664","-49.10434341430664","-49.10434341430664"
"185","-46.22431945800781","-46.22431945800781","-46.22431945800781","70.90399169921875","70.90399169921875","70.90399169921875","126.93535614013672","126.93535614013672","126.93535614013672","96.40339660644531","96.40339660644531","96.40339660644531","-17.642667770385742","-17.642667770385742","-17.642667770385742"
"186","-118.98357391357422","-118.98357391357422","-118.98357391357422","139.48745727539062","139.48745727539062","139.48745727539062","73.0569839477539","73.0569839477539","73.0569839477539","-3.8781814575195312","-3.8781814575195312","-3.8781814575195312","-74.83524322509766","-74.83524322509766","-74.83524322509766"
"187","-88.63670349121094","-88.63670349121094","-88.63670349121094","69.02010345458984","69.02010345458984","69.02010345458984","67.22029113769531","67.22029113769531","67.22029113769531","-33.095706939697266","-33.095706939697266","-33.095706939697266","-46.137413024902344","-46.137413024902344","-46.137413024902344"
"188","-70.46157836914062","-70.46157836914062","-70.46157836914062","137.51803588867188","137.51803588867188","137.51803588867188","71.93091583251953","71.93091583251953","71.93091583251953","40.372806549072266","40.372806549072266","40.372806549072266","-132.7957763671875","-132.7957763671875","-132.7957763671875"
"189","-114.82635498046875","-114.82635498046875","-114.82635498046875","108.14170837402344","108.14170837402344","108.14170837402344","54.456085205078125","54.456085205078125","54.456085205078125","28.129884719848633","28.129884719848633","28.129884719848633","-102.3651351928711","-102.3651351928711","-102.3651351928711"
"190","-112.72994232177734","-112.72994232177734","-112.72994232177734","144.67547607421875","144.67547607421875","144.67547607421875","46.1744499206543","46.1744499206543","46.1744499206543","56.87451171875","56.87451171875","56.87451171875","-68.40437316894531","-68.40437316894531","-68.40437316894531"
"191","-33.13471221923828","-33.13471221923828","-33.13471221923828","146.76133728027344","146.76133728027344","146.76133728027344","63.73863983154297","63.73863983154297","63.73863983154297","-100.64848327636719","-100.64848327636719","-100.64848327636719","-130.48507690429688","-130.48507690429688","-130.48507690429688"
"192","-37.778221130371094","-37.778221130371094","-37.778221130371094","115.94035339355469","115.94035339355469","115.94035339355469","33.45708465576172","33.45708465576172","33.45708465576172","-73.88516998291016","-73.88516998291016","-73.88516998291016","-117.78265380859375","-117.78265380859375","-117.78265380859375"
"193","13.634222984313965","13.634222984313965","13.634222984313965","134.02635192871094","134.02635192871094","134.02635192871094","23.27407455444336","23.27407455444336","23.27407455444336","-68.5590591430664","-68.5590591430664","-68.5590591430664","-107.77474975585938","-107.77474975585938","-107.77474975585938"
"194","-103.99981689453125","-103.99981689453125","-103.99981689453125","128.4764404296875","128.4764404296875","128.4764404296875","47.650901794433594","47.650901794433594","47.650901794433594","-72.94127655029297","-72.94127655029297","-72.94127655029297","-49.267478942871094","-49.267478942871094","-49.267478942871094"
"195","-72.40663146972656","-72.40663146972656","-72.40663146972656","110.71785736083984","110.71785736083984","110.71785736083984","73.63823699951172","73.63823699951172","73.63823699951172","-84.514404296875","-84.514404296875","-84.514404296875","-60.781551361083984","-60.781551361083984","-60.781551361083984"
"196","-128.85292053222656","-128.85292053222656","-128.85292053222656","145.66522216796875","145.66522216796875","145.66522216796875","37.097145080566406","37.097145080566406","37.097145080566406","-55.21925354003906","-55.21925354003906","-55.21925354003906","-46.458946228027344","-46.458946228027344","-46.458946228027344"
"197","20.839534759521484","20.839534759521484","20.839534759521484","117.42191314697266","117.42191314697266","117.42191314697266","112.97469329833984","112.97469329833984","112.97469329833984","-68.83316802978516","-68.83316802978516","-68.83316802978516","-54.70092010498047","-54.70092010498047","-54.70092010498047"
"198","-96.0950927734375","-96.0950927734375","-96.0950927734375","91.08084869384766","91.08084869384766","91.08084869384766","11.61056900024414","11.61056900024414","11.61056900024414","-70.72608947753906","-70.72608947753906","-70.72608947753906","-48.55591583251953","-48.55591583251953","-48.55591583251953"
"199","-56.98738098144531","-56.98738098144531","-56.98738098144531","124.30561065673828","124.30561065673828","124.30561065673828","52.254150390625","52.254150390625","52.254150390625","-86.37895202636719","-86.37895202636719","-86.37895202636719","-28.88141441345215","-28.88141441345215","-28.88141441345215"
