"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"30","-230.98622131347656","-230.98622131347656","-230.98622131347656","-96.31352996826172","-96.31352996826172","-96.31352996826172","-68.72213745117188","-68.72213745117188","-68.72213745117188","-42.96379852294922","-42.96379852294922","-42.96379852294922","-83.21350860595703","-83.21350860595703","-83.21350860595703"
"31","-104.95763397216797","-104.95763397216797","-104.95763397216797","-54.034278869628906","-54.034278869628906","-54.034278869628906","-79.76246643066406","-79.76246643066406","-79.76246643066406","-53.64973831176758","-53.64973831176758","-53.64973831176758","-24.234481811523438","-24.234481811523438","-24.234481811523438"
"32","-192.0507049560547","-192.0507049560547","-192.0507049560547","-59.55141067504883","-59.55141067504883","-59.55141067504883","-57.24215316772461","-57.24215316772461","-57.24215316772461","-42.3898811340332","-42.3898811340332","-42.3898811340332","-28.5244140625","-28.5244140625","-28.5244140625"
"33","-166.54867553710938","-166.54867553710938","-166.54867553710938","-36.41918182373047","-36.41918182373047","-36.41918182373047","-62.51192855834961","-62.51192855834961","-62.51192855834961","-87.27840423583984","-87.27840423583984","-87.27840423583984","-43.5053596496582","-43.5053596496582","-43.5053596496582"
"34","-47.41096878051758","-47.41096878051758","-47.41096878051758","-46.45315170288086","-46.45315170288086","-46.45315170288086","-51.78180694580078","-51.78180694580078","-51.78180694580078","-124.18631744384766","-124.18631744384766","-124.18631744384766","-44.35358428955078","-44.35358428955078","-44.35358428955078"
"35","-111.97225189208984","-111.97225189208984","-111.97225189208984","-50.077579498291016","-50.077579498291016","-50.077579498291016","-48.152915954589844","-48.152915954589844","-48.152915954589844","-33.06145477294922","-33.06145477294922","-33.06145477294922","-23.8055362701416","-23.8055362701416","-23.8055362701416"
"36","-156.3925323486328","-156.3925323486328","-156.3925323486328","-27.326683044433594","-27.326683044433594","-27.326683044433594","-23.374753952026367","-23.374753952026367","-23.374753952026367","-100.78874969482422","-100.78874969482422","-100.78874969482422","-51.44187927246094","-51.44187927246094","-51.44187927246094"
"37","-26.648128509521484","-26.648128509521484","-26.648128509521484","-20.708322525024414","-20.708322525024414","-20.708322525024414","-59.94304656982422","-59.94304656982422","-59.94304656982422","-18.556062698364258","-18.556062698364258","-18.556062698364258","-24.569211959838867","-24.569211959838867","-24.569211959838867"
"38","-89.87039184570312","-89.87039184570312","-89.87039184570312","-31.66514778137207","-31.66514778137207","-31.66514778137207","-29.199403762817383","-29.199403762817383","-29.199403762817383","-4.504891872406006","-4.504891872406006","-4.504891872406006","-36.56826400756836","-36.56826400756836","-36.56826400756836"
"39","-12.0868558883667","-12.0868558883667","-12.0868558883667","-33.719547271728516","-33.719547271728516","-33.719547271728516","-61.7549934387207","-61.7549934387207","-61.7549934387207","-0.12334752082824707","-0.12334752082824707","-0.12334752082824707","-16.25628089904785","-16.25628089904785","-16.25628089904785"
