"Step","cartpole_lb_rtg_na - Train_AverageReturn","cartpole_lb_rtg_na - Train_AverageReturn__MIN","cartpole_lb_rtg_na - Train_AverageReturn__MAX","cartpole_lb_na - Train_AverageReturn","cartpole_lb_na - Train_AverageReturn__MIN","cartpole_lb_na - Train_AverageReturn__MAX","cartpole_lb_rtg - Train_AverageReturn","cartpole_lb_rtg - Train_AverageReturn__MIN","cartpole_lb_rtg - Train_AverageReturn__MAX","cartpole_lb - Train_AverageReturn","cartpole_lb - Train_AverageReturn__MIN","cartpole_lb - Train_AverageReturn__MAX","cartpole_rtg_na - Train_AverageReturn","cartpole_rtg_na - Train_AverageReturn__MIN","cartpole_rtg_na - Train_AverageReturn__MAX","cartpole_na - Train_AverageReturn","cartpole_na - Train_AverageReturn__MIN","cartpole_na - Train_AverageReturn__MAX","cartpole_rtg - Train_AverageReturn","cartpole_rtg - Train_AverageReturn__MIN","cartpole_rtg - Train_AverageReturn__MAX","cartpole - Train_AverageReturn","cartpole - Train_AverageReturn__MIN","cartpole - Train_AverageReturn__MAX"
"62","198.42857360839844","198.42857360839844","198.42857360839844","200","200","200","199.5238037109375","199.5238037109375","199.5238037109375","164.63999938964844","164.63999938964844","164.63999938964844","200","200","200","200","200","200","169.8333282470703","169.8333282470703","169.8333282470703","49.47618865966797","49.47618865966797","49.47618865966797"
"63","200","200","200","200","200","200","198.4761962890625","198.4761962890625","198.4761962890625","167.4166717529297","167.4166717529297","167.4166717529297","200","200","200","200","200","200","180","180","180","49.095237731933594","49.095237731933594","49.095237731933594"
"64","200","200","200","200","200","200","190.95237731933594","190.95237731933594","190.95237731933594","169.75","169.75","169.75","200","200","200","200","200","200","195.8333282470703","195.8333282470703","195.8333282470703","50.29999923706055","50.29999923706055","50.29999923706055"
"65","200","200","200","200","200","200","183.72727966308594","183.72727966308594","183.72727966308594","174.0833282470703","174.0833282470703","174.0833282470703","190.3333282470703","190.3333282470703","190.3333282470703","200","200","200","200","200","200","46.90909194946289","46.90909194946289","46.90909194946289"
"66","199.09524536132812","199.09524536132812","199.09524536132812","200","200","200","180.82608032226562","180.82608032226562","180.82608032226562","161.47999572753906","161.47999572753906","161.47999572753906","192.6666717529297","192.6666717529297","192.6666717529297","200","200","200","200","200","200","48.47618865966797","48.47618865966797","48.47618865966797"
"67","198.76190185546875","198.76190185546875","198.76190185546875","200","200","200","174.95652770996094","174.95652770996094","174.95652770996094","142.1724090576172","142.1724090576172","142.1724090576172","200","200","200","200","200","200","200","200","200","51.150001525878906","51.150001525878906","51.150001525878906"
"68","198.76190185546875","198.76190185546875","198.76190185546875","200","200","200","175.82608032226562","175.82608032226562","175.82608032226562","144.1724090576172","144.1724090576172","144.1724090576172","200","200","200","200","200","200","200","200","200","48.9523811340332","48.9523811340332","48.9523811340332"
"69","200","200","200","200","200","200","184.5454559326172","184.5454559326172","184.5454559326172","143.0357208251953","143.0357208251953","143.0357208251953","200","200","200","200","200","200","200","200","200","51.599998474121094","51.599998474121094","51.599998474121094"
"70","199.2857208251953","199.2857208251953","199.2857208251953","200","200","200","176.95652770996094","176.95652770996094","176.95652770996094","149.8518524169922","149.8518524169922","149.8518524169922","195.1666717529297","195.1666717529297","195.1666717529297","200","200","200","200","200","200","52.349998474121094","52.349998474121094","52.349998474121094"
"71","197.6666717529297","197.6666717529297","197.6666717529297","200","200","200","178.47825622558594","178.47825622558594","178.47825622558594","157.26922607421875","157.26922607421875","157.26922607421875","200","200","200","200","200","200","200","200","200","53.78947448730469","53.78947448730469","53.78947448730469"
"72","198.3333282470703","198.3333282470703","198.3333282470703","200","200","200","197.6666717529297","197.6666717529297","197.6666717529297","173.375","173.375","173.375","200","200","200","200","200","200","200","200","200","51.650001525878906","51.650001525878906","51.650001525878906"
"73","200","200","200","200","200","200","191.04762268066406","191.04762268066406","191.04762268066406","193.1904754638672","193.1904754638672","193.1904754638672","200","200","200","200","200","200","200","200","200","51.79999923706055","51.79999923706055","51.79999923706055"
"74","195.5238037109375","195.5238037109375","195.5238037109375","200","200","200","190.68182373046875","190.68182373046875","190.68182373046875","199.42857360839844","199.42857360839844","199.42857360839844","200","200","200","200","200","200","200","200","200","54","54","54"
"75","192.95237731933594","192.95237731933594","192.95237731933594","200","200","200","198.95237731933594","198.95237731933594","198.95237731933594","200","200","200","200","200","200","200","200","200","200","200","200","54.73684310913086","54.73684310913086","54.73684310913086"
"76","194.57142639160156","194.57142639160156","194.57142639160156","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","56.05263137817383","56.05263137817383","56.05263137817383"
"77","189.5454559326172","189.5454559326172","189.5454559326172","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","55.66666793823242","55.66666793823242","55.66666793823242"
"78","191.09524536132812","191.09524536132812","191.09524536132812","200","200","200","200","200","200","199.85714721679688","199.85714721679688","199.85714721679688","198.5","198.5","198.5","200","200","200","200","200","200","63.25","63.25","63.25"
"79","185.40908813476562","185.40908813476562","185.40908813476562","200","200","200","200","200","200","198.57142639160156","198.57142639160156","198.57142639160156","198.1666717529297","198.1666717529297","198.1666717529297","200","200","200","200","200","200","59.82352828979492","59.82352828979492","59.82352828979492"
"80","178","178","178","200","200","200","200","200","200","188.13636779785156","188.13636779785156","188.13636779785156","199.6666717529297","199.6666717529297","199.6666717529297","200","200","200","200","200","200","66.5","66.5","66.5"
